item_id	item_name	zero_drops_jul2026	players_jul2026	clog_submissions_alltime
7989	Big bass	192518	1	32
7991	Big swordfish	96127	1	84
21726	Granite dust	15341	167	349
7993	Big shark	9615	1	91
25588	Spirit flakes	4133	190	32
19677	Ancient shard	3323	730	382
26792	Abyssal pearls	2710	260	476
30640	Desiccated page	1365	235	590
19679	Dark totem base	1186	536	375
22875	Hespori seed	1106	363	437
19683	Dark totem top	1040	518	362
19681	Dark totem middle	1031	507	368
33101	Mooleta	864	133	965
27293	Cache of runes	798	374	387
26908	Intricate pouch	793	191	451
20754	Giant key	683	97	448
33091	Bottomless milk bucket (empty)	662	127	987
33661	Venator fang	623	84	346
33663	Venator tooth	598	81	351
30763	Forgotten lockbox	540	183	361
30637	Giantsoul amulet (uncharged)	537	175	695
11942	Ecumenical key	522	130	255
10879	Red satchel	487	36	146
21027	Dark relic	416	207	238
9007	Right skull half	392	151	393
33133	Pristine spider silk	378	102	537
10859	Tea flask	374	42	206
28947	Dizana's quiver (uncharged)	348	68	161
22374	Mossy key	317	68	439
27622	Frozen cache	289	113	280
29892	Pendant of ates (inert)	260	83	537
13392	Xeric's talisman (inert)	249	103	341
9011	Bottom of sceptre	206	56	349
33382	Immaculate mole skin	188	78	377
27283	Breach of the scarab	181	148	421
27285	Eye of the corruptor	180	141	430
28270	Ice quartz	167	101	279
32869	Mouldy doll	165	50	341
27279	Thread of elidinis	164	136	428
30893	Jewel of amascut	164	131	601
29788	Araxyte head	156	96	322
13273	Unsired	154	89	266
28268	Blood quartz	145	77	227
27289	Jewel of the sun	141	114	422
27627	Ancient icon	137	77	261
11338	Chewed bones	136	45	244
20720	Bruma torch	115	61	353
31084	Alchemist's signet	115	25	190
20712	Warm gloves	108	55	363
7536	Fresh crab claw	97	44	348
9008	Left skull half	89	54	327
31052	Bow string spool	84	53	450
7538	Fresh crab shell	80	39	320
9010	Top of sceptre	77	53	345
20704	Pyromancer garb	76	58	365
6665	Mudskipper hat	72	25	288
32868	Broken sextant	70	44	366
27248	Cursed phalanx	66	12	118
32870	Smashed mirror	65	29	369
7980	Kbd heads	62	26	146
32398	Sailors' amulet (inert)	60	49	981
23077	Alchemical hydra heads	56	41	151
20708	Pyromancer hood	52	45	322
32867	Rusty coin	46	26	463
27372	Masori crafting kit	45	33	295
12954	Dragon defender	44	22	400
28272	Shadow quartz	44	27	97
28274	Smoke quartz	44	33	119
10878	Green satchel	43	6	128
7979	Abyssal head	42	41	189
31043	Fletching knife	42	32	457
32866	Broken compass	42	28	427
21275	Dark claw	39	29	170
28333	Frozen tablet	39	39	332
20706	Pyromancer robe	38	29	275
29265	Guild hunter top	38	23	241
29263	Guild hunter headwear	36	29	301
30626	Deadeye prayer scroll	35	35	460
7981	Kq head	33	26	195
25838	Parasitic egg	33	29	57
30627	Mystic vigour prayer scroll	33	33	440
6666	Flippers	31	18	230
24670	Twisted ancestral colour kit	31	30	94
22973	Hydra's eye	30	27	177
7977	Basilisk head	29	25	136
30806	Rite of vile transference	28	28	305
28330	Strangled tablet	27	27	287
20710	Pyromancer boots	26	20	209
10939	Lumberjack top	24	24	301
13260	Angler waders	24	24	317
25837	Slepey tablet	24	24	129
28331	Sirenic tablet	24	24	176
29781	Coagulated venom	24	23	161
26822	Abyssal lantern	23	19	210
29267	Guild hunter legs	23	15	175
6800	Giant champion scroll	22	15	155
13362	Shayzien gloves (2)	22	20	327
13364	Shayzien helm (2)	22	20	329
13365	Shayzien greaves (2)	22	20	329
13376	Shayzien platebody (4)	22	20	326
13379	Shayzien helm (5)	22	20	326
29269	Guild hunter boots	22	16	153
29786	Jar of Venom	22	22	152
13258	Angler hat	21	21	318
13361	Shayzien platebody (1)	21	21	329
13375	Shayzien greaves (4)	21	20	325
13377	Shayzien gloves (5)	21	20	326
32865	Dull knife	21	19	311
10940	Lumberjack legs	20	20	289
13259	Angler top	20	20	328
13357	Shayzien gloves (1)	20	20	329
13358	Shayzien boots (1)	20	20	332
13359	Shayzien helm (1)	20	20	330
13363	Shayzien boots (2)	20	20	329
13366	Shayzien platebody (2)	20	20	334
13367	Shayzien gloves (3)	20	20	341
13368	Shayzien boots (3)	20	20	327
13369	Shayzien helm (3)	20	20	329
13370	Shayzien greaves (3)	20	20	328
13371	Shayzien platebody (3)	20	20	325
13372	Shayzien gloves (4)	20	20	327
13373	Shayzien boots (4)	20	20	327
13374	Shayzien helm (4)	20	20	325
27643	Charged ice	20	20	277
13360	Shayzien greaves (1)	19	19	329
13378	Shayzien boots (5)	19	19	325
13380	Shayzien greaves (5)	19	19	326
13381	Shayzien body (5)	19	19	329
25582	Fish barrel	19	19	324
26807	Abyssal green dye	19	17	157
26809	Abyssal blue dye	19	17	187
30916	Major hard scroll case	19	12	245
8844	Bronze defender	18	18	420
22969	Hydra's heart	18	16	132
26813	Abyssal needle	18	18	296
27255	Menaphite ornament kit	18	11	144
28332	Scarred tablet	18	18	182
8847	Black defender	17	17	413
8849	Adamant defender	17	17	399
8850	Rune defender	17	17	395
10941	Lumberjack hat	17	17	295
13261	Angler boots	17	17	305
26811	Abyssal red dye	17	15	149
29309	Huntsman's kit	17	17	318
8845	Iron defender	16	16	425
8846	Steel defender	16	16	420
8848	Mithril defender	16	16	406
25580	Tackle box	15	15	296
30902	Minor beginner scroll case	15	8	216
6801	Goblin champion scroll	14	12	139
6806	Skeleton champion scroll	14	11	121
10933	Lumberjack boots	14	14	293
22971	Hydra's fang	14	13	155
12854	Flamtaer bag	13	11	166
25559	Big harpoonfish	13	12	109
29836	Nid	13	13	113
25742	Holy ornament kit	11	10	64
30906	Minor easy scroll case	11	7	176
30910	Minor medium scroll case	11	9	244
30914	Minor hard scroll case	11	10	408
30926	Mimic scroll case	11	11	398
26910	Tarnished locket	10	10	160
27379	Remnant of kephri	10	9	43
30888	Yami	10	10	70
32864	Mouldy block	10	10	141
6803	Imp champion scroll	9	9	58
25639	Barronite guard	9	9	90
26912	Lost bag	9	9	122
30912	Major medium scroll case	9	8	122
30922	Minor master scroll case	9	6	226
7978	Kurask head	8	8	81
23757	Youngllef	8	8	79
30924	Major master scroll case	8	7	142
32921	Jar of feathers	8	8	83
7976	Cockatrice head	7	7	65
11341	Ancient page	7	5	557
25744	Sanguine ornament kit	7	6	58
27378	Remnant of ba-ba	7	7	81
27380	Remnant of zebak	7	7	75
6807	Zombie champion scroll	6	6	109
19685	Dark totem	6	5	72
25474	Tree wizards' journal	6	6	97
25476	Bloody notes	6	6	93
27377	Remnant of akkha	6	6	49
30904	Major beginner scroll case	6	3	167
30920	Major elite scroll case	6	5	72
32863	Rusty locket	6	6	137
13200	Tanzanite mutagen	5	5	36
25436	Zealot's robe bottom	5	5	62
25440	Zealot's boots	5	5	77
27381	Ancient remnant	5	5	88
30918	Minor elite scroll case	5	5	215
10880	Black satchel	4	4	100
13201	Magma mutagen	4	4	35
25434	Zealot's robe top	4	4	62
25438	Zealot's helm	4	4	69
25844	Orange egg sac	4	4	99
28246	Wisp	4	4	36
10877	Plain satchel	3	3	74
13262	Abyssal orphan	3	3	68
21748	Noon	3	3	34
30908	Major easy scroll case	3	3	120
6798	Earth warrior champion scroll	2	2	22
10881	Gold satchel	2	2	69
10882	Rune satchel	2	2	79
12644	Pet dagannoth prime	2	1	12
22386	Metamorphic dust	2	2	35
22746	Ikkle hydra	2	1	43
25746	Sanguine dust	2	2	35
26901	Abyssal protector	2	2	77
32113	Sandy paint	2	2	91
5553	Rogue top	1	1	480
6802	Hobgoblin champion scroll	1	1	34
12643	Pet dagannoth supreme	1	1	13
12648	Pet smoke devil	1	1	42
23760	Smolcano	1	1	21
23866	Crystal shards	1	1	1
25539	Celestial ring (uncharged)	1	1	305
25846	Blue egg sac	1	1	107
30622	Bran	1	1	59
