"","","","","","","","","Realists","","","","","","OSRS Isle","","","","","","Chaos Emerald","","","","","","Cookhouse","","","","","","Arcanyx","","","","","","Winnie Blues","","","","","","Resurgent","","","","","","Patryn Exile","","","","","","Candor","","","","","","Ancient Fury","","","","","","No XP Waste","","","","",""
"","","","","","","","","6922","","","","","","5201","","","","","","0","","","","","","2541","","","","","","3834","","","","","","0","","","","","","11292","","","","","","3353","","","","","","10063","","","","","","5276","","","","","","1803","","","","",""
"","","","","","","boss/item name","","100","80","60","40","20","","100","80","60","40","20","","","","","","","","100","80","60","40","20","","100","80","60","40","20","","","","","","","","100","80","60","40","20","","100","80","60","40","20","","100","80","60","40","20","","100","80","60","40","20","","100","80","60","40","20",""
"","","","","","40"," Kree'arra ","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","x","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","","","","","","","","","","","","","","","",""
"11826","","","","8,997,487","9"," armadyl helmet ","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","x","x","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","","","","","","","x","","","","",""
"11828","","","","35,764,382","9"," armadyl chestplate ","","x","x","x","x","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","","","x","x","x","x","x","","","","","","","","x","x","x","x","x","","x","x","","","","","","","","","",""
"11830","","","","26,764,320","9"," armadyl chainskirt ","","x","","","","","","x","x","","","","","","","","","","","x","x","x","x","","","x","x","x","x","","","","","","","","","x","x","x","x","","","","","","","","","x","x","","","","","x","","","","","","x","","","","",""
"11810","","","","6,784,388","13"," armadyl hilt ","","x","","","","","","x","x","","","","","","","","","","","x","x","x","","","","x","","","","","","","","","","","","x","x","x","x","","","x","","","","","","x","x","x","","","","","","","","","","x","x","","","",""
"","","","","","60"," pet (bonus) ","","","","","","","","x","","","","","","","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","40"," General Graardor ","","x","","","","","","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","","","","","","","","","","","","","","",""
"11832","","","","23,049,433","7"," bandos chestplate ","","x","","","","","","x","x","x","x","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","x","x","","","","","x","","","","",""
"11834","","","","15,514,241","7"," bandos tassets ","","x","","","","","","x","","","","","","","","","","","","x","x","","","","","","","","","","","","","","","","","x","x","x","","","","x","","","","","","x","x","x","","","","x","","","","","","","","","","",""
"11836","","","","762,845","7"," bandos boots ","","x","","","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","","","","x","x","","","","","x","","","","",""
"11812","","","","17,525,461","9"," bandos hilt ","","x","","","","","","x","","","","","","","","","","","","","","","","","","x","","","","","","","","","","","","x","x","x","","","","x","x","","","","","x","x","x","","","","","","","","","","x","","","","",""
"","","","","","45"," pet (bonus) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","","","","","","x","x","","","","","","","","","",""
"","","","","","40"," Commander Zilyana ","","x","x","x","","","","x","x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","","","","","","","","","","","","","","","","",""
"11838","","","","137,190","2"," saradomin sword ","","x","x","x","x","x","","x","x","","","","","","","","","","","","","","","","","x","x","x","x","","","","","","","","","x","x","x","x","x","","x","","","","","","x","x","x","x","x","","","","","","","","x","x","","","",""
